prompt_id,prompt,context,umbrella
0001,"Please find a way to reduce traffic during peak hours in the city of Pune.","Pune is a historical city in western India, its oldest standing buildings dating back to 1700 A.D. Pune has been built iteratively outwards by several historical empires, and now the Pune Municipal Corporation. Due to this, today's road networks in Pune only cover about 8%-9% of the city's land area, significantly below the required 15% for optimal urban development. The system is severely restrained, with 80% of the city's traffic compressed onto just 270KM of major arterial roads. Pune is also a major IT hub, with millions of employees daily commuting to their offices at regular times, causing peak-time blockages and major hindrances. Many roads are severely narrow, and widening them has proven to be a litigation nightmare for the Pune Municipal Corporation (PMC). PMC has collaborated with online map providers (like Google Maps) and installed RFID numberplate readers on each traffic light. A smart way to manage the traffic can be created.","Urban Planning"
0002,"Propose an unsupervised architecture for elastic fingerprint alignment without relying on minutiae extraction.","Traditional fingerprint recognition relies on extracting minutiae points, which performs poorly on low-quality or latent prints. Elastic distortion further complicates this, as the skin stretches differently in every impression. There is a need for a deep learning approach that aligns fingerprints directly from the grayscale image. The model must be unsupervised since obtaining dense, pixel-level ground truth distortion fields for real fingerprints is practically impossible.","Biometrics & Computer Vision"
0003,"Design a methodology to evaluate whether an autonomous LLM agent is more susceptible to phishing than a human user.","Organizations are increasingly deploying LLM-powered agents to manage emails and automate workflows. However, these agents might be vulnerable to cognitive attacks or adversarial prompts embedded within incoming emails. A study needs to be designed that simulates an inbox environment where both human participants and LLM agents receive identical spear-phishing attempts. The solution must quantify the susceptibility of the agent while ensuring the testing environment accurately mimics real-world tool-use capabilities.","AI Security"
0004,"Develop a lightweight character segmentation algorithm for highly distorted, text-based CAPTCHAs.","Text-based CAPTCHAs deliberately use overlapping characters, complex backgrounds, and varying stroke widths to thwart automated bots. Building a complete OCR system from scratch requires first isolating individual characters before passing them to a Convolutional Neural Network (CNN) for classification. The segmentation step is notoriously difficult when characters overlap significantly. The solution must operate efficiently without relying on pre-trained commercial OCR APIs, utilizing standard image processing or custom PyTorch architectures.","Computer Vision"
0005,"Develop an automated pipeline to convert complex Jupyter Notebooks into submission-ready LaTeX documents for ML conferences.","Researchers frequently develop deep learning models and visualize results within Jupyter Notebooks. However, submitting to top-tier conferences (e.g., CVPR, ICML) requires strict adherence to specific LaTeX formatting guidelines. Manually transferring equations, formatting tables, and exporting figures from Python into a two-column LaTeX template is tedious and prone to formatting errors. The solution must parse the notebook and intelligently compile a compliant .tex file.","Academic Tooling"
0006,"Create a conceptual design for an AI agent using the OpenEnv framework to optimize a city's smart grid.","During an intensive 48-hour AI hackathon, teams are tasked with utilizing the OpenEnv framework to solve sustainability challenges. A city's power grid experiences fluctuating demand and integrates unpredictable renewable energy sources (solar and wind). The challenge is to design an autonomous agent that can predict demand spikes and reroute power dynamically. The solution must explicitly detail how it interfaces with OpenEnv's reinforcement learning environments to train the agent.","Environmental AI"
0007,"Devise a strategy to fine-tune a 7B parameter LLM locally on a consumer GPU with only 8GB of VRAM.","A researcher needs to adapt an open-weight LLM for a specific domain task but is restricted to an NVIDIA RTX 3070-Ti with 8GB of VRAM. Standard full-parameter fine-tuning easily exceeds this memory limit, resulting in Out of Memory (OOM) errors. The proposed pipeline must utilize advanced memory-saving techniques, such as specific quantization methods and parameter-efficient fine-tuning (PEFT), to successfully train the model without offloading too much to slower system RAM.","Machine Learning Engineering"
0008,"Design an efficient loss function for contrastive learning that minimizes false negatives in a highly similar dataset.","In self-supervised contrastive learning, models learn representations by pulling together augmented views of the same image (positives) and pushing away other images in the batch (negatives). However, in specialized datasets—like a database of visually similar manufactured parts—randomly sampling negatives often accidentally includes true positives (e.g., two images of identical parts from different angles). Standard loss functions penalize the model for pulling these together, hindering performance. The solution must address this 'false negative' problem dynamically during training.","Deep Learning"
0009,"Design a localized last-mile delivery system to reduce congestion caused by delivery vans in high-density IT parks.","Major IT hubs experience massive traffic bottlenecks during peak hours, exacerbated by the constant influx of individual delivery vans (e-commerce, food delivery) servicing thousands of employees. These vehicles block narrow access roads and compete for limited parking. A centralized, intelligent routing and drop-off system is needed to consolidate deliveries at the perimeter of the IT park and distribute them internally using zero-emission, non-obstructive methods.","Urban Planning"
0010,"Develop an automated tool to project the real-world take-home value of a complex tech industry compensation package.","Offer letters from major tech companies often include a mix of base salary, performance bonuses, and Restricted Stock Units (RSUs) with complex vesting schedules (e.g., front-loaded or monthly vesting). For a new hire, understanding the actual monthly liquidity and tax implications over a 4-year period is difficult. The tool needs to parse the terms of a standard offer letter, account for projected stock growth or decline, factor in local tax brackets, and generate a clear month-by-month financial projection.","Financial Technology"
0011,"Design a streamlined workflow for containerizing a legacy C++ computer vision application using Docker.","A research team has a complex, legacy C++ application that relies on specific, outdated versions of OpenCV and custom hardware drivers. Replicating the build environment on new Ubuntu machines is error-prone and takes days. The objective is to package this application into a Docker container. However, the container must maintain high-performance execution and have direct access to the host's GPU for inference, while keeping the image size as small as possible.","DevOps & Systems"